product_id,product_name,category,price
1,Product_1,Toys,4857.94
2,Product_2,Beauty,1829.6
3,Product_3,Office Supplies,767.35
4,Product_4,Home & Kitchen,3194.58
5,Product_5,Electronics,3303.17
6,Product_6,Home & Kitchen,107.66
7,Product_7,Clothing,3847.6
8,Product_8,Clothing,3909.86
9,Product_9,Sports,1965.74
10,Product_10,Clothing,2262.59
11,Product_11,Home & Kitchen,3978.75
12,Product_12,Sports,2281.34
13,Product_13,Electronics,4552.78
14,Product_14,Clothing,597.39
15,Product_15,Furniture,4833.31
16,Product_16,Toys,234.66
17,Product_17,Clothing,4025.9
18,Product_18,Toys,3166.94
19,Product_19,Office Supplies,3576.3
20,Product_20,Furniture,2815.0
21,Product_21,Beauty,2416.37
22,Product_22,Clothing,2604.62
23,Product_23,Electronics,1270.31
24,Product_24,Home & Kitchen,2928.55
25,Product_25,Electronics,13.93
26,Product_26,Toys,2412.3
27,Product_27,Furniture,909.25
28,Product_28,Office Supplies,376.9
29,Product_29,Home & Kitchen,2793.43
30,Product_30,Sports,2181.15
31,Product_31,Home & Kitchen,2532.91
32,Product_32,Toys,3279.15
33,Product_33,Sports,2021.48
34,Product_34,Clothing,1444.67
35,Product_35,Toys,3014.01
36,Product_36,Electronics,474.12
37,Product_37,Sports,1456.02
38,Product_38,Office Supplies,1338.13
39,Product_39,Office Supplies,363.9
40,Product_40,Furniture,4579.99
41,Product_41,Electronics,4500.6
42,Product_42,Office Supplies,1077.58
43,Product_43,Sports,1339.91
44,Product_44,Furniture,4711.76
45,Product_45,Furniture,4420.61
46,Product_46,Sports,1409.7
47,Product_47,Office Supplies,1646.85
48,Product_48,Toys,1493.66
49,Product_49,Electronics,2201.79
50,Product_50,Furniture,53.94
51,Product_51,Toys,2694.4
52,Product_52,Home & Kitchen,4306.99
53,Product_53,Toys,503.98
54,Product_54,Home & Kitchen,4285.75
55,Product_55,Beauty,3312.09
56,Product_56,Home & Kitchen,2988.46
57,Product_57,Clothing,3281.27
58,Product_58,Clothing,176.91
59,Product_59,Home & Kitchen,915.86
60,Product_60,Beauty,2645.99
61,Product_61,Sports,1797.47
62,Product_62,Office Supplies,4341.61
63,Product_63,Furniture,1940.49
64,Product_64,Clothing,3025.52
65,Product_65,Clothing,203.87
66,Product_66,Clothing,1635.19
67,Product_67,Furniture,3553.49
68,Product_68,Home & Kitchen,1073.52
69,Product_69,Beauty,3458.83
70,Product_70,Furniture,2495.81
71,Product_71,Clothing,705.03
72,Product_72,Office Supplies,4323.97
73,Product_73,Clothing,4327.87
74,Product_74,Office Supplies,4886.09
75,Product_75,Sports,653.36
76,Product_76,Office Supplies,533.32
77,Product_77,Toys,1426.55
78,Product_78,Home & Kitchen,437.88
79,Product_79,Sports,2387.85
80,Product_80,Clothing,3701.85
81,Product_81,Electronics,3158.24
82,Product_82,Clothing,2673.51
83,Product_83,Beauty,2160.12
84,Product_84,Home & Kitchen,3522.86
85,Product_85,Furniture,2984.23
86,Product_86,Beauty,3466.1
87,Product_87,Clothing,479.01
88,Product_88,Clothing,310.71
89,Product_89,Furniture,4194.13
90,Product_90,Beauty,505.69
91,Product_91,Toys,4627.24
92,Product_92,Home & Kitchen,557.28
93,Product_93,Electronics,2180.99
